update,env_id,episode_index,episode_length,episode_return,primary_fall,timeout,terminated,reward_termination_penalty,reward_track_lin_vel_xy_exp,reward_track_ang_vel_z_exp,reward_feet_air_time,reward_feet_slide,reward_flat_orientation_l2,reward_stand_still,reward_dof_pos_limits,reward_joint_deviation_hip,reward_joint_deviation_arms,reward_joint_deviation_torso,reward_joint_deviation_knee,reward_lin_vel_z_l2,reward_action_rate_l2,reward_dof_acc_l2,reward_dof_torques_l2
2,32,0,36,-3.9698733907938,True,False,True,-4.0,0.012493379811626962,0.37456586892635874,9.999990463256836e-05,-0.014603432044968938,-0.1711305304587586,0.0,-0.018763411920517684,-0.008534201232250781,-0.03042181022465229,-0.010303883065935224,-0.005204680452588946,-0.00401480775901291,-0.09157169654965397,-0.0017288457381073384,-0.0007554461251129394
2,16,0,39,-3.9324466317892077,True,False,True,-4.0,0.1764705525428872,0.2745203490997271,0.00019999995827674866,-0.029740444926428605,-0.09154389857751084,0.0,-0.001813265960663557,-0.044040576973930004,-0.04619347728788852,-0.03174989498220384,-0.014621537926141173,-0.01731597394306846,-0.10120169639587402,-0.0009823106147814546,-0.00443426954909228
2,33,0,39,-4.130361984074115,True,False,True,-4.0,0.03720740049364169,0.19194034602282695,0.0018999983929097655,-0.014206367982551456,-0.13455399609723828,0.0,-0.03211121629923582,-0.00915184883400798,-0.039953244663774964,-0.01483839190099388,-0.00827984366333112,-0.0028255317770526744,-0.10285410851240159,-0.0010097403297550046,-0.001625372567214072
2,42,0,39,-4.171736720502377,True,False,True,-4.0,0.004585953690207425,0.19267488109966383,0.0004999995976686477,-0.02667732498375698,-0.062273694442701526,0.0,-0.025252042794600128,-0.03737149664200842,-0.04702415239065885,-0.03559133243747055,-0.012525050165131689,-0.019300757534801958,-0.09890498384833332,-0.0009905436731060032,-0.003586321157345082
2,52,0,39,-4.105597605109216,True,False,True,-4.0,0.020762419562674952,0.2172149017278043,0.0029999970644712447,-0.019436825276352467,-0.08995450040645664,0.0,-0.027886864654719824,-0.028095291615463792,-0.04055624138563872,-0.01759856641059741,-0.009195816041901709,-0.003483868703624466,-0.10653707325458525,-0.0008478418413142208,-0.0029818100039847198
2,29,0,40,-5.219881854653358,True,False,True,-4.0,0.08674294734982452,0.3748696261554142,0.0,-0.011594802818726747,-0.11016165469283805,-1.3302052187919615,-0.03806263487786055,-0.009735405766405166,-0.04773155234754086,-0.016152821681462228,-0.009440195453353225,-0.0049118784020356545,-0.101324258223176,-0.0007078361409367063,-0.00146646315632097
2,50,0,40,-4.055015478581191,True,False,True,-4.0,0.06534829653311588,0.2249214647739785,0.007899992503225803,-0.01621519453590736,-0.10607792454335142,0.0,-0.021288668436463928,-0.033199786492623395,-0.04251018818467857,-0.02037721734959632,-0.011964688431471587,-0.001887201543990216,-0.09565885797142983,-0.0007785843007150104,-0.0032270915483240976
2,59,0,40,-4.017475664317607,True,False,True,-4.0,0.04247011610404116,0.30478266120490943,0.0011999991536140442,-0.02778048783715349,-0.11556727055591183,0.0,0.0,-0.030656244861893365,-0.043204803802073005,-0.023233099104836584,-0.012441268630209378,-0.006633047197719861,-0.1021533679962158,-0.0008660328390396899,-0.0033925552092841835
2,63,0,40,-4.032567081153393,True,False,True,-4.0,0.003079408034025557,0.38337613955838606,0.0009999991953372955,-0.024727011639624832,-0.1597614405330387,0.0,-0.018250590190291405,-0.03672987298341467,-0.03656396929174662,-0.02220224115531891,-0.008443564479239288,-0.004621107214452422,-0.1040550812333822,-0.002387050801480655,-0.0022806655039312317
2,9,0,41,-4.278664506822825,True,False,True,-4.0,0.00016324258767227217,0.21452429167777576,0.0011999988555908203,-0.01893841495621018,-0.21698038723290666,0.0,0.0,-0.04101421524770558,-0.05568922568112612,-0.03520137695129961,-0.01399333457928151,-0.0022713155643613453,-0.1045316061377525,-0.001728273751505185,-0.004203836216620403
2,26,0,41,-5.240822995305062,True,False,True,-4.0,0.08227283056504806,0.35914328630129616,0.0,-0.009951990919653327,-0.14690892972546862,-1.2969116258621216,-0.029233759269118312,-0.022047247774899012,-0.04252280659973621,-0.011897089090198279,-0.008822683899197731,-0.008195333509065678,-0.10313136138021944,-0.0008499189649592155,-0.0017661950292676928
2,53,0,41,-3.9970234335958956,True,False,True,-4.0,0.05125398119722918,0.2982483227864223,0.0005999994277954101,-0.018153719352558256,-0.11476092577642703,0.0,-0.020255643986165528,-0.019326969357207416,-0.03744511157274247,-0.013838329794816676,-0.010742887640371918,-0.0021188553865653147,-0.1079062893986702,-0.0006655710951599758,-0.001911520438152365
2,12,0,42,-4.294960724711418,True,False,True,-4.0,0.004234766175737227,0.0842906214411072,0.00499999511986971,-0.01723218976520002,-0.10890473718885917,0.0,-0.03330946937203408,-0.027696509649977084,-0.05027599606662988,-0.020317928818985823,-0.00868321686401032,-0.003919144865103588,-0.11477617442607878,-0.0008657400042284278,-0.002504838207969442
2,24,0,42,-4.132629312574863,True,False,True,-4.0,0.01671256178850277,0.3004835434220468,0.008199992310255765,-0.024461737286765126,-0.19253342491749204,0.0,-0.020657488033175467,-0.03817082539666444,-0.033836183343082665,-0.018899329612031585,-0.00769254111684859,-0.005690245612296961,-0.10620216727256775,-0.007936923472007036,-0.00194473960189498
2,46,0,42,-4.054585532844066,True,False,True,-4.0,0.06029222843786559,0.3382889175084699,0.0009999991953372955,-0.014258396294899287,-0.22655563647655072,0.0,-0.016896333396434784,-0.010466328854672607,-0.04128807194530964,-0.01572648537810892,-0.007962206830925423,-0.014249187891896328,-0.10250747345387937,-0.002990782774722902,-0.0012657415131980087
2,51,0,42,-3.8992261472344394,True,False,True,-4.0,0.3808042212761939,0.1418135651690201,0.0006999996118247509,-0.014545815968886017,-0.19628669319004982,0.0,-0.019304624348878866,-0.008586998302489518,-0.03488758370280267,-0.012465575877577068,-0.008411655207164588,-0.01282617382053104,-0.11303335815668106,-0.0009410078474320472,-0.0012543744761933334
2,15,0,43,-4.206025840342044,True,False,True,-4.0,0.024617582578648576,0.12080237329186609,0.002299998346716166,-0.022787393832113596,-0.053015433747641505,0.0,-0.0029410728067159656,-0.05639325802214445,-0.045540411174297336,-0.026336276286747305,-0.01247004142147489,-0.013344502742111219,-0.11561902582645417,-0.000769853024103213,-0.004528556247823872
2,17,0,43,-4.134665636718273,True,False,True,-4.0,0.03741651806893061,0.19949593263247375,0.006399993672966958,-0.018137431489303704,-0.13797431656508707,0.0,-0.001862645447254181,-0.02783990299329162,-0.04656199362128972,-0.010425731803989037,-0.015366997262462972,-0.0023304832414430456,-0.11120089799165725,-0.0017096898637100819,-0.004568135683075525
2,18,0,43,-4.1045446082949635,True,False,True,-4.0,0.08250277403230938,0.1945081246264854,0.0002999996952712536,-0.03302085544797592,-0.0812117792159552,0.0,-0.013383026197552684,-0.04215142916887999,-0.038259575553238376,-0.036804271377623085,-0.012865590965375305,-0.012842143936140927,-0.10596407957375048,-0.0009858992410590873,-0.004366797043476253
2,40,0,43,-3.912109994888306,True,False,True,-4.0,0.020229066396434167,0.39439166139409293,0.0002999999187886715,-0.017726078996784054,-0.07384597912183381,0.0,-0.018672734349966053,-0.016962698418647056,-0.04674640782177447,-0.01459443415980786,-0.013497820561751726,-0.0036810878502501507,-0.11700493976473808,-0.0019208325310319204,-0.002377579230815172
2,49,0,43,-5.3023402570188045,True,False,True,-4.0,0.1333229950916575,0.21316537676084235,0.0,-0.022192806118400767,-0.057235265799681655,-1.3215134477615356,-0.0016969030350446703,-0.038354456191882484,-0.04241604600101709,-0.019445825819857418,-0.01130801368504763,-0.013138064371469228,-0.11494022272527221,-0.0031344914543296925,-0.003453166623221477
2,61,0,43,-3.902342458367348,True,False,True,-4.0,0.08416923535750985,0.3476617519636068,0.001999998614192009,-0.02320036500168499,-0.028049988036273135,0.0,-0.017820905689150093,-0.04586897604167461,-0.045029863826930513,-0.025875010706949978,-0.010606633056886496,-0.017432612938137027,-0.11710465431213378,-0.0012468187886406667,-0.003937487271032296
2,62,0,43,-4.025492198914289,True,False,True,-4.0,0.04745835026182761,0.3018085434690875,0.003599996492266655,-0.012424162522656844,-0.12201595232909314,0.0,-0.031231195703148838,-0.02263104707933963,-0.04476265035569669,-0.015669191889464855,-0.010024293171009049,-0.0034097541217670375,-0.1118348824977875,-0.0016668010078137747,-0.0026891640090616425
2,6,0,44,-4.132217424511909,True,False,True,-4.0,0.03869595199561447,0.24959015937731235,0.0012999988347291947,-0.015593231404200197,-0.19037562861660265,0.0,-0.013447825871407987,-0.014549068957567213,-0.03677674066275357,-0.01653191795339808,-0.007835395662114022,-0.003913972768018539,-0.12027603566646576,-0.0007542747232218972,-0.0017491864180192356
2,23,0,44,-5.409748247861863,True,False,True,-4.0,0.13332395531256233,0.37059575378159565,0.0,-0.015044124382548034,-0.1329121114841837,-1.5166448450088503,-0.026470888555049896,-0.021034934325143695,-0.042656793408095826,-0.019892579494044195,-0.011020380721893165,-0.0025176328551376774,-0.12119718186557293,-0.0016786664069513792,-0.0025976164668099952
2,31,0,44,-3.6834480381011963,True,False,True,-4.0,0.39958935932256273,0.3779625137074618,0.001399998813867569,-0.01353856822475791,-0.1884953410743765,0.0,-0.028401746740564705,-0.01283720671199262,-0.05240063250064852,-0.028042945452034486,-0.011851742817088963,-0.005971067540299372,-0.11747540570795534,-0.0012638187478296455,-0.002121153427433456
2,41,0,44,-3.9637668706476687,True,False,True,-4.0,0.016449450587184992,0.3418924597487785,0.005199995264410973,-0.020556656969711186,-0.02988159667722357,0.0,-0.018184393122792245,-0.04705889943055808,-0.04076375644654037,-0.026518579032272102,-0.010585576125886294,-0.011069681332883193,-0.11794371157884596,-0.0010968089997186324,-0.003649221355153714
2,45,0,44,-5.218755802810192,True,False,True,-4.0,0.1061995834909658,0.541759019587189,0.0,-0.01608086167834699,-0.21689897286327323,-1.39138320684433,-0.017427228577435016,-0.0196266004210338,-0.043466937690973276,-0.023828552612103517,-0.009605120572960002,-0.009894454874436177,-0.11558896243572236,-0.0007337592967087402,-0.002180051733157598
2,3,0,45,-3.899427398145199,True,False,True,-4.0,0.07231744876572747,0.35982735537073723,0.004399995729327202,-0.020263676525792113,-0.043241428825713225,0.0,-0.005977635309100151,-0.03905530613847077,-0.04398923501372337,-0.03326003947295249,-0.013737188167870045,-0.01841209851159874,-0.11311451755464072,-0.0007916774996556341,-0.004129101364524103
2,5,0,45,-4.035978980064392,True,False,True,-4.0,0.16405902406167008,0.2341413645550243,0.0005999995023012161,-0.016726722836028784,-0.19736276585259477,0.0,-0.01585841961205006,-0.01091647885739803,-0.038859881386160845,-0.01206098208669573,-0.004992379662580786,-0.009830721539628941,-0.12505648009479048,-0.0018685513341915791,-0.0012459761371428615
2,7,0,45,-3.8698215392231936,True,False,True,-4.0,0.39109758323058486,0.13438558732746375,0.0005999993905425071,-0.016925550907617437,-0.15900644449473475,0.0,-0.015525054782629014,-0.019127209361176938,-0.03999087072908877,-0.011990201104199516,-0.01189810365438461,-0.00407224799746464,-0.11455270744860174,-0.0006577182954060845,-0.002158853598230052
2,22,0,45,-4.304975661635399,True,False,True,-4.0,0.00203111458510893,0.11621522700587446,0.0007999999076128006,-0.028377115076873453,-0.16865536150915433,0.0,0.0,-0.026083292637486013,-0.04711045149713755,-0.019970104757230735,-0.014722113683819774,-0.002529778377130958,-0.11068746790289875,-0.002640457019442693,-0.0032459933729842307
2,28,0,45,-4.011169026196003,True,False,True,-4.0,0.08104966532720509,0.3027506345653508,0.002799997255206108,-0.023079067762009804,-0.10315182554544435,0.0,-0.03087731566280126,-0.024291290221735828,-0.04678229749202729,-0.024173467913642516,-0.013232456003315747,-0.0037828017589205836,-0.1235172002017498,-0.0021540131840447427,-0.0027276370913023123
2,39,0,45,-4.312510526776314,True,False,True,-4.0,0.08759813280592597,0.09498484447608636,0.0032999968901276586,-0.017513619330711664,-0.22741856168067903,0.0,-0.013647810034453868,-0.02905114431865513,-0.04592052172869444,-0.01650576916756108,-0.008790067518129946,-0.01194155518330117,-0.12486344367265702,-0.0010125789738958703,-0.0017283038087771278
2,58,0,45,-3.9509559091925626,True,False,True,-4.0,0.11629761723102999,0.3998293352706136,0.0035999965481460098,-0.014275319654843771,-0.22529012001647059,0.0,0.0,-0.013131630141288046,-0.05429013554006815,-0.024903580634854736,-0.013504645640496166,-0.00861153378859779,-0.11309213049709799,-0.0007900068457820454,-0.002793567958287895
2,8,0,46,-4.2363772964477535,True,False,True,-4.0,0.011581438689654439,0.12905318913549194,0.0010999991558492185,-0.02092647031415254,-0.03611360543232876,0.0,-0.026179238408803943,-0.03756571930833161,-0.055421846956014646,-0.03778378737159074,-0.014913569262716916,-0.020511872237548228,-0.1238852968811989,-0.0008736628395854492,-0.00393705815076828
2,19,0,46,-5.3038130828738215,True,False,True,-4.0,0.14735092873612304,0.3097518831682112,0.0,-0.0314308663783595,-0.08632838710007493,-1.3811834126710893,-0.004966434203088284,-0.04164952443912625,-0.05211956657469272,-0.02064560248283669,-0.012462948653846978,-0.009782301868599463,-0.11603420287370682,-0.0009104782875510864,-0.0034025689068948855
2,55,0,46,-5.272661527395248,True,False,True,-4.0,0.15853850771386138,0.33987509731756294,0.0,-0.02156192648690194,-0.0818551135186135,-1.423266950845718,-0.0070878987759351725,-0.0342325167171657,-0.045584658831357955,-0.01477998911868781,-0.01463789978995919,-0.004083187277304176,-0.11874237954616547,-0.0012319178097823173,-0.0040105370842502455
2,34,0,47,-4.1968419367074965,True,False,True,-4.0,0.14682148637238246,0.09102690288741846,0.0,-0.01577569196932018,-0.17558623654746044,0.0,-0.021321359723806377,-0.013816495975479485,-0.04598613185808063,-0.020432054488919677,-0.011455480279400947,-0.005805279988853726,-0.12065196201205251,-0.0016088723970460706,-0.002251072533399565
2,37,0,47,-4.241556776016951,True,False,True,-4.0,0.034255235773248946,0.244370454116595,0.008799991235136986,-0.0182636827416718,-0.22284580671053844,0.0,-0.018511638562195006,-0.03138155978173017,-0.045868181996047495,-0.030858501279726624,-0.01563750637695193,-0.004334348735178537,-0.13187691345810892,-0.003924480972345918,-0.005479855027369923
2,30,0,48,-4.3342752546072,True,False,True,-4.0,0.0035695982965080484,0.21590681477920567,0.00019999995827674866,-0.009098930106847546,-0.26948431749668095,0.0,0.0,-0.01769226532429457,-0.05727672178298236,-0.043146310634911055,-0.01869006891734898,-0.011923035185159421,-0.12104901239275934,-0.0006972318423504476,-0.00489379818784073
3,13,0,49,-4.256134090721607,True,False,True,-4.0,0.14051258339129116,0.02374422058625707,0.0011999988555908203,-0.016533058386994526,-0.15738436196348632,0.0,-0.023591020610183484,-0.016822265526279807,-0.049005450978875174,-0.022876052390784034,-0.011632289180997755,-0.0076222386101298415,-0.11336044892668722,-0.0008904332647216508,-0.0018734320609655694
3,14,0,49,-3.9603175604343415,True,False,True,-4.0,0.2614349397621505,0.2841874354387675,0.0038999964110553263,-0.016651091487146913,-0.16241529031220123,0.0,-0.03877550229430199,-0.03793980467133225,-0.0648098679073155,-0.0344583421573043,-0.015255614956840876,-0.003317049928518828,-0.13088860958814624,-0.0010096198780229317,-0.0043191835610196
3,21,0,49,-5.771212849020959,True,False,True,-4.0,0.22816719198948696,0.5241322423288557,0.0,-0.02896564570604824,-0.35439697359543054,-1.8406024265289307,-0.003496556505560875,-0.04047355259303003,-0.06781538207083941,-0.029499354732688512,-0.01826465744990855,-0.008191754395083989,-0.1253108176589012,-0.0011712947803607678,-0.005323598228715128
3,25,0,49,-4.02660548388958,True,False,True,-4.0,0.14062829056326911,0.2012463570250503,0.0006999993138015271,-0.016457120216800833,-0.053150366888930885,0.0,-0.0032072966825217007,-0.043347457423806184,-0.05363421186804771,-0.03073395891115069,-0.019038234227336946,-0.016673444832166383,-0.12674171373248105,-0.0006596734108461533,-0.0055366561733535494
3,43,0,49,-5.029096653163434,True,False,True,-4.0,0.22196898878415597,0.4925767812006292,0.0,-0.013580588505137712,-0.21302799711037326,-1.2791594398021702,-0.016505989804863928,-0.009391573849134149,-0.050698513053357604,-0.015796545287594197,-0.009033640706911681,-0.010496786082152596,-0.12259583517909049,-0.0017192895851621864,-0.001636594381416217
3,0,0,50,-3.5669881752133374,True,False,True,-4.0,0.4183622182928956,0.4742085294076241,0.002499997615814209,-0.016418901399010796,-0.18801602205669043,0.0,0.0,-0.010462855705991389,-0.05337572824209928,-0.019834637495223434,-0.01871132935397327,-0.006191778995402047,-0.1397759651392698,-0.005637010806531178,-0.003634671010076999
3,2,0,50,-4.203664597272873,True,False,True,-4.0,0.10323896974239459,0.1388817743569408,0.003799996338784695,-0.019862176374299455,-0.14286013006312714,0.0,-0.025358413048088554,-0.029268885811325158,-0.054968409016728406,-0.016437701687682424,-0.013235959964804351,-0.001488165269724391,-0.14072580844163898,-0.0019350965957710287,-0.003444396377090016
3,48,0,50,-3.859015767276287,True,False,True,-4.0,0.18685941697127254,0.44514322330205675,0.0007999995350837707,-0.013512649544281888,-0.18972845929027243,0.0,-0.036096949949860575,-0.028932555383071303,-0.05053051918745041,-0.02151996967382729,-0.01285176241071895,-0.007955684342199057,-0.12689843863248826,-0.0011070060275960715,-0.0026846348596154712
3,60,0,51,-5.3206920102238655,True,False,True,-4.0,0.292087995063921,0.37922356358116854,0.0,-0.02747920603258536,-0.05628402199698031,-1.5879045438766477,-0.003270580749958754,-0.04920061291428283,-0.05335077568888664,-0.03058199213817716,-0.014631741589400917,-0.018629423822203537,-0.14541983902454375,-0.0006504525222044323,-0.0046006440566270625
3,1,0,52,-4.038490654826164,True,False,True,-4.0,0.002971619136264479,0.360617320035235,0.0013999987766146662,-0.021012860040646047,-0.04361683290597285,0.0,-0.009686286300420763,-0.053226817944087096,-0.058648527264595025,-0.04456872864626347,-0.018534119182731956,-0.019540503040188926,-0.12524828292429446,-0.00326942743413383,-0.006127318150829524
3,44,0,52,-3.8990702253580096,True,False,True,-4.0,0.3213594565540551,0.19300035526343606,0.0025999975204467774,-0.024559563896036706,-0.12118107427566427,0.0,-0.01757420979440212,-0.02741302590817214,-0.044761817753314975,-0.01381929526571184,-0.014041764272842556,-0.002313750495094924,-0.1435026790201664,-0.0036595318227773538,-0.0032032347717904485
3,56,0,52,-4.457903295457363,True,False,True,-4.0,0.0030948407186770065,0.0870542867764879,0.00479999765753746,-0.01945446230296511,-0.21969152985169788,0.0,-0.004539302177727223,-0.05137436963617802,-0.06527241792529823,-0.02479570255614817,-0.01825676728039979,-0.0035626147754101115,-0.1391046553105116,-0.0010542035975959151,-0.005746433904278091
3,36,0,55,-4.291574958711863,True,False,True,-4.0,0.04040607332762499,0.11881020747321035,0.000799999199807644,-0.02442420973442495,-0.11061293078311964,0.0,-0.026434912607073785,-0.028001738372258844,-0.060110474489629265,-0.031418193187564614,-0.016807508929632602,-0.0050060133208171455,-0.1444445147365332,-0.0010159898732672445,-0.003314844897249714
3,20,0,56,-3.5308557590842247,True,False,True,-4.0,0.448762364380018,0.4747980043204733,0.00039999961853027344,-0.014492835869314153,-0.15598746059367843,0.0,-0.03406445672735572,-0.011539429291151463,-0.057444317229092136,-0.019742549378424887,-0.012758806161582472,-0.009754251507632431,-0.13526808172464372,-0.0012824942628503783,-0.002481500433641487
