update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss
1,0.430860698223114,0.5660260915756226,1.0062800645828247,0.18896938860416412,0.24588686227798462,0.3639194369316101,0.20000001788139343,22,0.13690495491027832,34,0.0042005181312561035,47.15741729736328,1277.5882568359375,3004,3004,0.0,0.0,0.0,,0.001,,2.579586982727051,5.452996730804443,0.011547346599400043,0.07824209332466125
2,0.44858598709106445,0.5922806859016418,0.9979945421218872,0.21758699417114258,0.2833780348300934,0.441183477640152,0.2006465047597885,43,0.09510698914527893,418,0.004204690456390381,51.393550872802734,1188.62890625,2849,2849,0.026692708333333332,0.0,0.026692708333333332,,1e-05,,5.441181182861328,5.407336711883545,3.226433515548706,-0.05542584881186485
3,0.44593268632888794,0.5801784992218018,0.9236871004104614,0.20312030613422394,0.2684181332588196,0.47443923354148865,0.200945183634758,22,0.0778757631778717,72,0.003789544105529785,52.68782424926758,1127.1007080078125,3216,3216,0.013020833333333334,0.0,0.013020833333333334,,1e-05,,3.1576366424560547,5.374701023101807,0.6450504660606384,-0.03925048187375069
4,0.44903725385665894,0.5895410776138306,1.011162519454956,0.21129029989242554,0.27636435627937317,0.4142313003540039,0.20116016268730164,30,0.1413082778453827,276,0.004418790340423584,48.809967041015625,1042.6722412109375,2940,2940,0.02734375,0.0,0.02734375,,1e-05,,5.053175926208496,5.339314937591553,2.6964259147644043,-0.06145331263542175
5,0.44769057631492615,0.5915489792823792,1.0547209978103638,0.20969270169734955,0.27572494745254517,0.47702232003211975,0.20139960944652557,44,0.1166452169418335,166,0.0032262802124023438,44.9929313659668,898.9339599609375,3079,3079,0.014322916666666666,0.0,0.014322916666666666,,1e-05,,3.7754180431365967,5.311723232269287,0.9591767191886902,-0.05397670343518257
6,0.4479660093784332,0.5880215764045715,0.9131912589073181,0.2107248306274414,0.2758949398994446,0.47434982657432556,0.20157408714294434,33,0.08772778511047363,259,0.0040947794914245605,46.69041061401367,898.7056884765625,3059,3059,0.025390625,0.0,0.025390625,,1e-05,,4.93368673324585,5.283575534820557,1.6460285186767578,-0.05874432250857353
7,0.4491250216960907,0.589212954044342,0.9954783916473389,0.21106353402137756,0.27749189734458923,0.4590725898742676,0.20178274810314178,26,0.12021130323410034,153,0.0035514235496520996,47.46927261352539,1028.949462890625,3088,3088,0.014973958333333334,0.0,0.014973958333333334,,1e-05,,4.126443862915039,5.250581741333008,0.800412118434906,-0.05438397079706192
8,0.4491424858570099,0.5893380045890808,0.9421326518058777,0.21322767436504364,0.28388211131095886,0.4490741491317749,0.20201535522937775,32,0.08280819654464722,226,0.005014300346374512,55.203269958496094,790.109619140625,3008,3008,0.020833333333333332,0.0,0.020833333333333332,,1e-05,,4.694660663604736,5.22713041305542,0.849020779132843,-0.05719737336039543
9,0.45180654525756836,0.5919957756996155,0.9402114748954773,0.21448500454425812,0.2804083824157715,0.45791375637054443,0.20213663578033447,27,0.12934917211532593,190,0.005817115306854248,49.16014862060547,1191.0908203125,3056,3056,0.020833333333333332,0.0,0.020833333333333332,,1e-05,,4.5696282386779785,5.201812744140625,0.6011366844177246,-0.058340586721897125
10,0.450771301984787,0.594435453414917,0.9609769582748413,0.21113775670528412,0.277328759431839,0.4684458374977112,0.20234689116477966,35,0.06798836588859558,208,0.004303872585296631,57.3764762878418,934.8612060546875,3021,3021,0.021484375,0.0,0.021484375,,1e-05,,4.5017805099487305,5.174624919891357,0.49212342500686646,-0.057460587471723557
